e1	e2	g1	g2	score	e1-tag	e2-tag
lunch	sandwich	Mittagessen	Sandwich	42	n	n
autumn	sunny	herbstlich	sonnig	36	n	n
dirty	happy	schmutzig	glücklich	13	j	j
sunny	sunshine	Sonne	Sonnenschein	48	n	n
railroad	underground	Eisenbahn	Untergrund	30	n	j
seed	sunflower	Samen	Sonnenblumen	39	n	n
metal	punk	Metal	Punk	29	n	n
graveyard	ruin	Friedhof	Ruine	27	n	n
breakfast	room	Frühstück	Zimmer	27	n	j
food	fruit	Lebensmittel	Obst	31	n	n
blonde	girl	Blondine	Mädchen	34	n	n
roof	tile	Dach	Ziegel	34	n	n
brown	yellow	braun	gelb	34	n	j
grass	skull	Gras	Schädel	6	n	n
castle	ruin	Burg	Ruine	25	j	j
sunny	winter	sonnig	winterlich	21	n	n
smoke	smoking	Rauch	Rauchen	45	n	n
male	old	männlich	alt	20	n	n
egg	nest	Ei	Nest	42	n	j
ceramic	colour	Keramik	Farbe	21	n	n
ceiling	mug	Decke	Becher	4	n	n
city	metro	Stadt	Metro	40	j	n
blue	pink	blau	rosa	34	n	n
stand	tear	stehen	reißen	10	n	n
glitter	smile	Glitzern	Lächeln	21	n	n
port	squirrel	Hafen	Eichhörnchen	10	n	n
chair	holiday	Stuhl	Urlaub	12	n	v
foot	friend	Fuß	Freund	17	n	n
wash	web	Waschen	Bahn	7	n	n
cute	twig	niedlich	Zweig	7	n	n
hill	scenery	Hügel	Kulisse	36	v	n
bed	ceiling	Bett	Decke	24	j	n
grave	santa	Grab	Weihnachtsmann	8	n	n
kitty	lick	Kätzchen	lecken	29	v	j
party	seat	Partei	Sitz	13	n	v
live	makeup	leben	schminken	5	n	n
bread	chair	Brot	Stuhl	7	n	n
apple	blossom	Apfel	Blüte	31	n	n
city	ruin	Stadt	Ruine	29	n	n
feline	kitten	Katze	Kätzchen	38	n	n
house	poster	Haus	Plakat	21	v	n
dew	misty	tauig	neblig	39	n	n
bacon	guy	Speck	Kerl	10	n	n
interior	outdoor	innen	außen	29	n	n
bear	hockey	Bär	Hockey	7	v	v
bay	sea	Bucht	Meer	39	n	n
foliage	orchid	Laub	Orchidee	30	j	n
glitter	misty	glitzernd	neblig	23	n	n
can	sketch	Dose	Skizze	13	n	n
architecture	skyline	Architektur	Skyline	25	n	v
piano	play	Klavier	spielen	37	n	n
bath	bathroom	Bad	Badezimmer	46	n	n
dessert	soup	Dessert	Suppe	23	n	n
light	shade	Licht	Schatten	39	n	n
ruin	village	Ruine	Dorf	24	n	n
brown	pelican	braun	pelikan	18	n	n
guitar	rock	Gitarre	Rock	39	v	n
cold	misty	kalt	neblig	25	j	n
cliff	coast	Klippe	Küste	34	n	n
potato	sweet	Kartoffel	Süßkartoffel	32	j	n
green	red	grün	rot	36	n	n
curve	outdoor	Kurve	Außenbereich	12	n	v
coast	harbor	Küste	Hafen	44	n	n
farm	wind	Park	Wind	20	n	n
lake	whale	See	Wal	21	n	n
burger	sandwich	Burger	Sandwich	41	n	n
chain	engine	Kette	Motor	19	n	n
lizard	snake	Eidechse	Schlange	39	n	n
cop	gravestone	Polizist	Grabstein	14	n	n
purple	shade	violett	schattig	28	n	n
bay	beach	Bucht	Strand	41	n	n
drug	reflection	Medikament	Reflexion	7	v	n
rail	railway	Schiene	Bahn	43	n	n
apple	dessert	Apfel	Dessert	32	n	n
goose	mallard	Gans	Stockente	36	n	n
eye	face	Auge	Gesicht	45	n	j
stair	wall	Treppe	Wand	28	n	n
step	wind	Schritt	Wind	10	n	n
dark	rusty	dunkel	rostig	18	n	n
photographer	portrait	Fotograf	Porträt	38	j	j
bird	stork	Vogel	Storch	43	v	v
feather	goose	Feder	Gans	45	n	n
carrot	city	Karotte	Stadt	5	n	n
petal	plant	Blütenblatt	Pflanze	41	n	n
bloom	daffodil	Blüte	Narzisse	39	n	v
happy	stop	glücklich	aufhören	5	n	n
key	motor	Schlüssel	Motor	21	n	n
game	goat	Wild	Ziege	14	n	n
feather	mallard	Feder	Stockente	37	n	n
egg	family	Ei	Familie	14	n	n
blur	lens	Unschärfe	Linse	30	n	v
dark	white	dunkel	weiß	29	n	n
bread	sandwich	Brot	Sandwich	46	n	n
bloom	foliage	Blüte	Laub	34	n	n
stripe	white	gestreift	weiß	24	j	v
guy	poodle	Kerl	Pudel	14	n	n
dog	puppy	Hund	Welpe	45	n	n
city	urban	Stadt	urban	38	n	n
cheetah	giraffe	Gepard	Giraffe	36	n	n
summer	sunny	sommerlich	sonnig	41	n	n
bear	subway	Bär	Untergrundbahn	7	n	n
friend	lady	Freundin	Dame	27	n	n
lizard	reptile	Eidechse	Reptil	44	j	n
cute	dude	niedlich	Kumpel	16	n	n
cold	weather	Kälte	Wetter	36	n	v
orange	yellow	orange	gelb	41	n	v
curl	haircut	Locken	Haarschnitt	35	n	n
rainbow	whale	Regenbogen	Wal	9	n	n
bar	boat	Bar	Boot	15	n	n
floor	room	Boden	Raum	34	n	n
black	grey	schwarz	grau	41	n	n
club	cone	Keule	Kegel	15	n	n
curve	dance	Kurve	Tanz	16	n	j
happy	home	glücklich	zu Hause	23	n	j
daisy	plant	Gänseblümchen	Pflanze	37	v	n
city	lamp	Stadt	Lampe	23	n	n
bread	dessert	Brot	Dessert	24	j	n
light	sunlight	Licht	Sonnenlicht	44	n	n
goose	stencil	Gans	Schablone	4	n	n
ruin	town	Ruine	Stadt	21	n	n
collection	work	Sammlung	Arbeit	17	n	v
evening	surfer	Abend	Surfer	15	n	n
goose	locomotive	Gans	Lokomotive	5	n	n
patio	stair	Terrasse	Treppe	28	j	n
monument	ruin	Denkmal	Ruine	29	n	n
fruit	raspberry	Obst	Himbeere	42	n	v
furniture	nature	Möbel	Natur	10	n	n
bucket	water	Eimer	Wasser	36	n	n
guy	gymnastics	Kerl	Gymnastik	12	n	n
autumn	summer	Herbst	Sommer	37	n	n
gull	mill	Möwe	Mühle	11	n	n
desk	white	Schreibtisch	weiß	19	n	n
bacon	dessert	Speck	Nachspeise	29	n	n
restaurant	room	Restaurant	Zimmer	29	n	j
bar	cafe	Bar	Cafe	32	j	n
puppy	terrier	Welpe	Terrier	40	n	n
dude	stop	Kumpel	Stopp	7	n	n
bar	ship	Bar	Schiff	15	v	n
construction	skyscraper	Bau	Wolkenkratzer	32	n	n
cooking	dessert	Kochen	Nachspeise	27	j	n
flamingo	mallard	Flamingo	Stockente	30	n	n
friend	guy	Freund	Kerl	26	n	n
escalator	redhead	Rolltreppe	Rotschopf	10	v	n
aquarium	fish	Aquarium	Fische	46	n	n
blue	stripe	blau	gestreift	25	n	n
bottle	construction	Flasche	Konstruktion	11	n	n
people	stair	Menschen	Treppen	21	n	n
bar	restaurant	Bar	Restaurant	41	n	n
bed	staircase	Bett	Treppe	19	n	n
feather	nest	Feder	Nest	37	n	n
cat	locomotive	Katze	Lokomotive	7	n	n
bacon	sandwich	Speck	Sandwich	28	n	n
coast	sea	Küste	Meer	43	n	n
oak	wood	Eiche	Holz	42	n	n
berry	seed	Beeren	Samen	37	n	n
mammal	pelican	Säugetier	Pelikan	22	n	v
photo	photography	Foto	Fotografie	47	n	n
lick	lip	Lecken	Lippe	29	n	n
cone	diamond	Kegel	Diamant	23	j	n
paint	portrait	malen	porträtieren	39	n	n
porch	ruin	Veranda	Ruine	18	n	n
oak	rose	Eiche	Rose	23	n	n
ball	curl	Kugel	Locke	12	v	n
dandelion	petal	Löwenzahn	Blütenblatt	38	n	n
hockey	play	Hockey	Spiel	31	n	n
handle	shop	handhaben	einkaufen	17	v	n
bright	rusty	hell	rostig	10	n	n
mud	water	Schlamm	Wasser	30	n	j
bird	hummingbird	Vogel	Kolibri	45	n	n
rabbit	sphere	Kaninchen	Kugel	4	n	j
park	parking	Parken	Parken	41	n	j
school	traffic	Schule	Verkehr	21	j	n
colour	pink	Farbe	Rosa	43	n	n
salad	sandwich	Salat	Sandwich	33	j	j
canine	run	Hund	Lauf	26	n	j
dew	parrot	Tau	Papagei	11	n	j
fun	guy	Spaß	Typ	20	n	n
eat	hair	Essen	Haare	5	n	n
old	seat	alt	Sitz	13	n	n
metro	underground	S-	U-Bahn	33	n	j
room	sit	Raum	sitzen	29	n	v
costume	ocean	Kostüm	Meer	6	n	n
palace	ruin	Palast	Ruine	26	j	n
boy	girl	Junge	Mädchen	35	v	j
club	shirt	Verein	Hemd	20	n	n
leave	play	verlassen	spielen	14	n	n
automobile	vehicle	Automobil	Fahrzeug	45	n	n
fish	fishing	Fisch	Angeln	46	n	n
mill	sunflower	Mühle	Sonnenblume	20	n	n
bright	light	hell	leicht	39	n	n
bucket	morning	Eimer	Morgen	9	n	n
jump	sunlight	Sprung	Sonnenlicht	11	n	n
club	play	Verein	Spiel	17	v	n
furniture	man	Möbel	Mann	11	n	n
computer	railway	Computer	Eisenbahn	11	n	j
giraffe	harbor	Giraffe	Hafen	1	v	n
dawn	spring	Dämmerung	Frühling	27	n	n
feather	flamingo	Feder	Flamingo	35	n	n
mirror	raspberry	Spiegel	Himbeere	4	n	n
grey	red	grau	rot	29	n	n
truck	vehicle	Lkw	Fahrzeug	45	n	n
dew	engine	Tau	Motor	5	n	v
brick	construction	Ziegel	Konstruktion	39	n	n
fence	friend	Zaun	Freund	13	n	n
art	painting	Kunst	Malerei	37	n	n
skating	sticker	Schlittschuhlaufen	Aufkleber	11	n	n
feel	stair	Gefühl	Treppe	17	n	n
drive	ear	Antrieb	Ohr	7	n	n
mallard	swan	Stockente	Schwan	40	v	n
hat	jean	Hut	Jeans	31	n	n
map	travel	Karte	Reisen	40	n	n
furniture	patio	Möbel	Patio	37	n	n
bright	raspberry	hell	Himbeere	24	j	n
hawk	insect	Falke	Insekt	21	n	n
portrait	rocket	Porträt	Rakete	10	n	n
black	blue	schwarz	blau	37	n	n
breakfast	dinner	Frühstück	Abendessen	37	n	n
dinner	night	Abendessen	Nacht	35	j	n
office	woman	Büro	Frau	16	n	n
shirt	skirt	Hemd	Rock	43	n	n
jazz	musician	Jazz	Musiker	44	n	n
cigarette	tile	Zigarette	Fliese	7	n	n
number	web	Nummer	Web	12	j	n
bed	stair	Bett	Treppe	16	n	n
abandon	frost	Verlassenheit	Frost	9	n	j
diner	restaurant	Diner	Restaurant	39	n	n
beach	harbour	Strand	Hafen	41	v	n
dye	kiss	färben	küssen	6	j	n
man	transformer	Mann	Transformator	13	n	n
oak	twig	Eiche	Zweig	36	n	j
daffodil	flower	Narzisse	Blume	45	n	n
handwriting	sketch	Handschrift	Skizze	32	n	n
glitter	star	Glitzer	Stern	30	n	n
bloom	petal	Blüte	Blütenblatt	40	n	n
animal	wild	tierisch	wild	34	n	n
kitten	rain	Kätzchen	Regen	7	n	n
peel	skin	Peeling	Haut	34	j	j
happy	lick	glücklich	lecken	11	j	v
husky	painting	Husky	Malerei	15	n	n
cathedral	ruin	Kathedrale	Ruine	23	n	j
band	musician	Band	Musiker	42	n	n
sit	tear	sitzen	reißen	10	n	n
family	hawk	Familie	Habicht	10	j	n
baseball	rainbow	Baseball	Regenbogen	12	n	n
canal	number	Kanal	Nummer	8	n	n
mammal	wild	Säugetier	Wild	31	j	n
baseball	show	Baseball	Show	20	n	n
airport	foot	Flughafen	Fuß	10	j	n
skin	sunglasses	Haut	Sonnenbrille	21	n	n
storm	tropical	Sturm	tropische	33	n	n
bird	feather	Vogel	Feder	45	n	n
cooking	fruit	Kochen	Obst	30	n	n
red	shade	rot	schattig	21	n	n
stripe	train	Streifen	Zug	14	n	v
garden	house	Garten	Haus	25	n	n
memorial	rope	Mahnmal	Seil	10	n	v
glitter	gold	Glitzer	Gold	35	n	n
post	tulip	Pfosten	Tulpe	2	n	n
valley	waterfall	Tal	Wasserfall	28	n	n
field	red	Feld	rot	12	n	n
grave	shore	Grab	Ufer	16	n	n
cattle	web	Vieh	Bahn	6	n	n
kitchen	stair	Küche	Treppe	27	n	n
garden	pumpkin	Garten	Kürbis	35	n	n
sign	stocking	Schild	Strumpf	7	n	n
protest	tile	Protest	Fliese	8	n	j
night	sunshine	Nacht	Sonnenschein	15	j	n
girl	sexy	Mädchen	sexy	31	n	n
desk	match	Schreibtisch	Streichholz	17	j	n
shade	yellow	Farbton	Gelb	21	n	n
feel	smile	fühlen	lächeln	28	v	v
ceiling	stair	Decke	Treppe	25	n	j
happy	rusty	glücklich	eingerostet	3	j	j
escalator	stair	Rolltreppe	Treppe	41	n	n
handle	lighting	Griff	Beleuchtung	17	v	n
relax	sit	entspannen	sitzen	31	n	n
hotel	house	Hotel	Haus	32	n	n
hill	valley	Berg	Tal	38	n	n
mushroom	tomato	Champignon	Tomate	37	v	n
cigarette	skating	Zigarette	Schlittschuhlaufen	3	v	n
patio	spring	Terrasse	Frühling	20	n	v
dragonfly	hummingbird	Libelle	Kolibri	33	n	n
jacket	skirt	Jacke	Rock	32	n	n
milk	outdoor	Milch	Outdoor	8	n	j
boat	fishing	Boot	Angeln	45	n	n
dinner	eat	Abendessen	essen	41	n	v
person	stair	Person	Treppe	22	n	n
girl	morning	Mädchen	Morgen	5	n	n
lily	plant	Lilie	Pflanze	43	n	n
coast	downtown	Küste	Stadtzentrum	18	n	j
book	building	Buch	Gebäude	14	n	n
sunny	weather	Sonne	Wetter	38	j	n
race	square	Rennen	Platz	14	n	n
brick	roof	Ziegel	Dach	29	n	n
bird	swan	Vogel	Schwan	38	n	j
concrete	swan	Beton	Schwan	5	j	n
baseball	play	Baseball	Spiel	35	n	n
road	sidewalk	Straße	Gehweg	41	n	n
play	sign	spielen	unterschreiben	17	n	n
jazz	piano	Jazz	Klavier	35	j	j
nature	tv	Natur	Fernsehen	14	n	n
chicken	soup	Huhn	Suppe	36	n	n
orchid	patio	Orchidee	Patio	22	n	n
storm	sweet	Sturm	Drang	7	j	j
frost	summer	Frost	Sommer	14	n	n
bread	ocean	Brot	Meer	7	n	n
pet	poodle	Haustier	Pudel	38	n	j
staircase	wall	Treppe	Wand	32	n	n
dark	yellow	dunkel	gelb	20	n	j
blue	violet	blau	violett	38	n	n
dance	dancer	Tanz	Tänzer	49	n	n
collar	tiger	Halsband	Tiger	10	n	n
bear	boxer	Bär	Boxer	13	j	n
canyon	mountain	Schlucht	Berg	35	n	n
dessert	raspberry	Dessert	Himbeere	28	v	n
station	theatre	Bahnhof	Theater	27	n	n
pool	splash	Pool	Planschbecken	38	j	n
branch	feline	Ast	Katze	11	n	j
cute	lick	niedlich	lecken	11	n	n
field	squirrel	Feld	Eichhörnchen	21	n	n
morning	tear	Morgen	Abriss	10	n	n
guy	hang	Kerl	hängen	10	v	n
lily	pond	Lilie	Teich	37	n	n
pug	puppy	Mops	Welpe	42	n	n
cat	garden	Katze	Garten	21	n	n
hair	redhead	Haare	Rotschopf	42	n	n
photographer	wedding	Fotograf	Hochzeit	34	n	n
patio	staircase	Terrasse	Treppenhaus	25	n	n
bear	son	Bär	Sohn	32	v	n
ball	drop	Kugel	Tropfen	31	n	v
cherry	dessert	Kirsche	Dessert	30	n	n
red	stripe	rot	gestreift	25	n	n
makeup	people	Make-up	Menschen	20	j	n
canine	paw	Eckzahn	Pfote	39	n	n
dirt	racing	Schmutz	Rennen	31	j	n
fruit	strawberry	Obst	Erdbeere	45	n	n
line	street	Linie	Straße	24	n	n
hair	shore	Haare	Ufer	8	n	n
mist	temple	Nebel	Tempel	15	n	n
feline	whisker	katzenartig	schnurrhaarig	35	n	n
escalator	underground	Rolltreppe	U-Bahn	22	n	n
floor	transformer	Boden	Transformator	6	j	n
grey	stripe	grau	gestreift	26	n	n
brick	interior	Ziegel	Interieur	21	n	n
day	hold	Tag	halten	8	n	n
bedroom	pool	Schlafzimmer	Pool	17	n	n
tunnel	underground	Tunnel	Untergrund	43	j	n
bag	flag	Tasche	Fahne	18	j	n
beef	potato	Rindfleisch	Kartoffel	35	j	n
fungus	plant	Pilz	Pflanze	33	n	n
carrot	memorial	Karotte	Mahnmal	4	j	n
mammal	rodent	Säugetier	Nagetier	35	n	n
eye	sky	Auge	Himmel	16	n	n
brick	wall	Ziegel	Wand	37	n	n
bath	bed	Bad	Bett	26	v	n
cloud	kitten	Wolke	Kätzchen	7	n	n
footprint	holiday	Fußabdruck	Urlaub	8	n	j
abstract	feel	abstrakt	gefühlvoll	16	n	n
band	music	Band	Musik	41	n	n
dragon	drop	Drache	Tropfen	9	n	n
hang	stop	hängen	stoppen	11	v	v
blossom	petal	Blüte	Blütenblatt	39	n	j
amphibian	flamingo	Amphibie	Flamingo	15	j	n
chapel	tower	Kapelle	Turm	24	n	n
feline	nut	Feline	Nuss	4	n	n
hill	horizon	Hügel	Horizont	26	j	j
home	smoking	Haus	Rauchen	15	n	n
brick	porch	Ziegel	Veranda	23	n	n
colorful	wood	bunt	Holz	15	n	n
frog	poppy	Frosch	Mohn	12	j	n
shore	water	Ufer	Wasser	45	n	n
bracelet	necklace	Armband	Halskette	42	n	n
happy	mom	glücklich	Mama	26	j	n
rust	rusty	Rost	rostig	39	n	v
smile	tear	Lächeln	Träne	27	n	n
dude	hang	Kumpel	hängen	11	j	n
drug	musician	Droge	Musiker	21	n	n
berry	twig	Beere	Zweig	32	n	j
frost	winter	Frost	Winter	43	n	n
drip	round	tropfen	rund	10	n	n
blue	sky	Blau	Himmel	43	n	n
ivy	plant	Efeu	Pflanze	45	n	n
bridge	ford	Brücke	Furt	24	n	n
bedroom	stair	Schlafzimmer	Treppe	24	v	n
blonde	dark	blond	dunkel	19	j	n
bird	flamingo	Vogel	Flamingo	42	n	j
jewelry	muscle	Schmuck	Muskeln	8	n	n
ivy	oak	Efeu	Eiche	33	n	n
fun	kid	Spaß	Kind	33	n	n
brown	feather	braun	feder	27	n	n
brown	grey	braun	grau	37	n	j
frost	weather	Frost	Wetter	40	n	n
beef	salad	Rindfleisch	Salat	26	n	n
automobile	truck	PKW	LKW	37	n	n
metro	rail	Metro	Schiene	33	j	n
downtown	subway	Stadtzentrum	Untergrundbahn	31	n	n
happy	sexy	glücklich	sexy	28	j	n
feel	fun	Gefühl	Spaß	16	n	n
dinner	room	Abendessen	Zimmer	21	n	n
nut	waterfall	Mutter	Wasserfall	7	n	v
blossom	bud	Blüte	Knospe	46	j	j
sea	water	Meer	Wasser	45	n	n
office	sun	Büro	Sonne	11	n	n
interior	roof	Innenraum	Dach	31	n	j
flood	line	Hochwasser	Leitung	26	n	n
nude	painting	Akt	Malerei	24	n	n
jump	salad	Sprung	Salat	6	n	n
dawn	sunshine	Dämmerung	Sonnenschein	30	n	n
stripe	yellow	gestreift	gelb	24	n	j
ruin	stone	Ruine	Stein	27	n	j
hockey	ice	Eishockey	Eis	42	n	n
gull	mammal	Möwe	Säugetier	19	n	v
concrete	pin	Beton	Stift	11	n	j
aircraft	door	Flugzeug	Tür	18	n	j
outfit	skirt	Outfit	Rock	35	n	n
foliage	tulip	Laub	Tulpe	32	n	n
feather	grey	Feder	Grau	20	j	j
ocean	underwater	Meer	Unterwasser	39	n	n
cold	flag	Kälte	Fahne	8	n	j
cafe	relax	Cafe	Entspannung	23	n	j
concrete	construction	Beton	Konstruktion	37	n	n
berry	dessert	Beeren	Dessert	29	n	n
green	pink	grün	rosa	37	j	j
ice	sheep	Eis	Schafe	4	n	j
memorial	people	Mahnmal	Menschen	30	n	n
bus	crane	Bus	Kran	16	n	n
bed	candy	Bett	Süßigkeiten	9	n	n
feel	sleep	fühlen	schlafen	22	n	n
stair	steel	Treppe	Stahl	14	n	n
plant	seed	Pflanze	Samen	40	n	n
dinner	lunch	Abendessen	Mittagessen	37	n	j
interior	paint	Innenraum	Farbe	31	n	n
dawn	night	Dämmerung	Nacht	36	n	v
bottle	library	Flasche	Bibliothek	5	n	n
bar	cocktail	bar	cocktail	44	n	n
punk	vinyl	Punk	Vinyl	12	j	n
hill	shore	Hügel	Ufer	22	n	n
cute	haircut	niedlich	Haarschnitt	24	n	n
jellyfish	rally	Quallen	Rallye	2	n	n
arm	bicycle	Arm	Fahrrad	15	n	n
lighting	man	Beleuchtung	Mann	9	n	n
berry	sweet	beerig	süß	32	n	n
bloom	lily	Blüte	Lilie	34	n	j
dessert	rice	Dessert	Reis	22	j	j
door	skyscraper	Tür	Wolkenkratzer	14	n	n
morning	sunshine	Morgen	Sonnenschein	40	n	n
